Real per-frame delay variation vs what each estimator reports, in ms.
`per-frame` is the fix; `per-packet` is what shipped. CONSTRAINED_JITTER_MS = 4.0,
POOR_JITTER_MS = 10.0.

| real PDV | pkts/frame | per-frame (fix) | per-packet (old) | old/real |
|---|---|---|---|---|
| 1.0 | 1 | 1.00 | 1.00 | 1.000 |
| 1.0 | 5 | 1.00 | 0.22 | 0.218 |
| 1.0 | 10 | 1.00 | 0.12 | 0.117 |
| 1.0 | 20 | 1.00 | 0.07 | 0.073 |
| 4.0 | 1 | 4.00 | 4.00 | 1.000 |
| 4.0 | 5 | 4.00 | 0.74 | 0.186 |
| 4.0 | 10 | 4.00 | 0.34 | 0.084 |
| 4.0 | 20 | 4.00 | 0.14 | 0.036 |
| 10.0 | 1 | 10.00 | 10.00 | 1.000 |
| 10.0 | 5 | 10.00 | 1.79 | 0.179 |
| 10.0 | 10 | 10.00 | 0.78 | 0.078 |
| 10.0 | 20 | 10.00 | 0.29 | 0.029 |
| 20.0 | 1 | 20.00 | 20.00 | 1.000 |
| 20.0 | 5 | 20.00 | 3.54 | 0.177 |
| 20.0 | 10 | 20.00 | 1.51 | 0.076 |
| 20.0 | 20 | 20.00 | 0.55 | 0.027 |
| 32.0 | 1 | 32.00 | 32.00 | 1.000 |
| 32.0 | 5 | 32.00 | 5.64 | 0.176 |
| 32.0 | 10 | 32.00 | 2.40 | 0.075 |
| 32.0 | 20 | 32.00 | 0.85 | 0.027 |
