utc	label	exit_mode	wait_s	connect1	connect2	detail
23:09:10Z	baseline	none	0	skipped	OK	
23:10:37Z	A1-clean	clean	10	OK	OK	
23:11:57Z	B1-forcestop	forcestop	10	OK	OK	
23:13:08Z	C1-kill	kill	10	OK	HARNESS:no_tile	
23:15:03Z	C2-kill	kill	10	OK	HARNESS:no_tile	
23:16:52Z	B2-forcestop-w0	forcestop	0	OK	OK	
23:17:31Z	D1-earlystop	earlystop	5	killed_after_5s_video_had_started	RP_IN_USE	
23:18:15Z	D1-poll1	none	15	skipped	OK	
23:18:55Z	D1-poll2	none	15	skipped	OK	
23:19:44Z	E1-earlystop-w0	earlystop	0	killed_after_5s_video_had_started	OK	
23:20:23Z	E2-earlystop-w0	earlystop	0	killed_after_5s_video_had_started	OK	
23:21:03Z	E3-earlystop-w0	earlystop	0	killed_after_5s_video_had_started	OK	
23:21:45Z	F-e2-1	earlystop	0	killed_after_2s	OK	
23:22:21Z	F-e2-2	earlystop	0	killed_after_2s	OK	
23:22:58Z	F-e3-1	earlystop	0	killed_after_3s	OK	
23:23:35Z	F-e3-2	earlystop	0	killed_after_3s	OK	
23:26:03Z	G1-blip-forcestop	forcestop	10	OK	OK	
23:28:14Z	G2-blackout	forcestop	10	OK	OK	
23:29:25Z	H1-churn	forcestop	0	OK	OK	
23:30:14Z	H2-churn	forcestop	0	OK	OK	
23:31:03Z	H3-churn	forcestop	0	OK	OK	
23:31:52Z	H4-churn	forcestop	0	OK	OK	
23:32:41Z	H5-churn	forcestop	0	OK	OK	
23:33:30Z	H6-churn	forcestop	0	OK	OK	
23:34:49Z	I1-blackout-handshake	blackout-handshake	10	blackout_video_started=0	OK	
23:36:07Z	I2-blackout-avcap	blackout-handshake	10	blackout_video_started=6	OK	
23:37:13Z	I3-blackout-avcap	blackout-handshake	10	blackout_video_started=0	OK	
23:38:09Z	I4-blackout-avcap	blackout-handshake	10	blackout_video_started=5	OK	
23:39:42Z	J1-h264-forcestop	forcestop	0	OK	OK	
23:40:38Z	J2-h264-forcestop	forcestop	0	OK	OK	
23:41:34Z	J3-h264-forcestop	forcestop	0	OK	OK	
23:42:52Z	K1-h265to264	forcestop	0	OK	OK	
23:43:53Z	K2-h264to265	forcestop	0	OK	OK	
23:44:32Z	Z-final-confirm	none	5	skipped	OK	
